Order ID,Customer ID,Platform,Order Date & Time,Delivery Time (Minutes),Product Category,Order Value (INR),Customer Feedback,Service Rating,Delivery Delay,Refund Requested
ORD000524,CUST1096,JioMart,11:29.5,33,Dairy,271,Good quality products.,4,No,No
ORD000525,CUST6763,Blinkit,50:29.5,29,Fruits & Vegetables,528,"Horrible experience, never ordering again.",1,No,Yes
ORD000526,CUST5892,Blinkit,20:29.5,15,Dairy,542,Quick and reliable!,5,No,No
ORD000527,CUST7389,JioMart,33:29.5,51,Personal Care,1231,Packaging could be better.,3,Yes,No
ORD000528,CUST7865,Swiggy Instamart,03:29.5,31,Snacks,335,Good quality products.,4,No,No
ORD000529,CUST9818,Swiggy Instamart,17:29.5,24,Grocery,810,"Very late delivery, not happy.",2,No,Yes
ORD000530,CUST9947,Blinkit,31:29.5,29,Snacks,296,"Very late delivery, not happy.",2,No,Yes
ORD000531,CUST4613,JioMart,37:29.5,14,Fruits & Vegetables,277,"Horrible experience, never ordering again.",1,No,Yes
ORD000532,CUST8999,Swiggy Instamart,44:29.5,40,Personal Care,1381,Items missing from order.,2,No,Yes
ORD000533,CUST4595,JioMart,47:29.5,32,Personal Care,1233,"Very late delivery, not happy.",2,No,Yes
ORD000534,CUST5471,JioMart,07:29.5,27,Fruits & Vegetables,386,Items missing from order.,2,No,Yes
ORD000535,CUST8140,Blinkit,17:29.5,29,Personal Care,511,Delivery person was rude.,2,No,Yes
ORD000536,CUST8956,Swiggy Instamart,57:29.5,21,Grocery,1266,Good quality products.,4,No,No
ORD000537,CUST1475,Blinkit,47:29.5,41,Fruits & Vegetables,699,"Horrible experience, never ordering again.",1,Yes,Yes
ORD000538,CUST7371,Swiggy Instamart,47:29.5,23,Dairy,288,"Fast delivery, great service!",5,No,No
ORD000539,CUST6507,Swiggy Instamart,35:29.5,24,Dairy,152,"Fast delivery, great service!",5,No,No
ORD000540,CUST7624,Swiggy Instamart,35:29.5,31,Personal Care,1209,Packaging could be better.,3,No,No
ORD000541,CUST3704,Swiggy Instamart,13:29.5,9,Fruits & Vegetables,186,Packaging could be better.,3,No,No
ORD000542,CUST8657,Swiggy Instamart,04:29.5,35,Fruits & Vegetables,636,Very satisfied with the service.,5,No,No
ORD000543,CUST3091,JioMart,27:29.5,29,Fruits & Vegetables,578,"Fast delivery, great service!",5,No,No
ORD000544,CUST9751,Blinkit,07:29.5,35,Personal Care,1575,Items missing from order.,2,No,Yes
ORD000545,CUST1441,JioMart,02:29.5,27,Snacks,93,Packaging could be better.,3,No,No
ORD000546,CUST7455,Swiggy Instamart,44:29.5,21,Beverages,220,Very satisfied with the service.,5,No,No
ORD000547,CUST1444,Blinkit,50:29.5,31,Dairy,735,"Not fresh, disappointed.",2,No,Yes
ORD000548,CUST2375,Swiggy Instamart,17:29.5,39,Snacks,129,Very satisfied with the service.,5,No,No
ORD000549,CUST8022,Blinkit,35:29.5,24,Snacks,138,"Easy to order, loved it!",5,No,No
ORD000550,CUST3223,JioMart,41:29.5,38,Dairy,429,"Horrible experience, never ordering again.",1,No,Yes
ORD000551,CUST8564,Blinkit,48:29.5,27,Fruits & Vegetables,192,Items missing from order.,2,No,Yes
ORD000552,CUST3977,Blinkit,40:29.5,25,Snacks,218,Wrong item delivered.,1,No,Yes
ORD000553,CUST1823,Blinkit,55:29.5,38,Dairy,270,Very satisfied with the service.,5,No,No
ORD000554,CUST5262,Blinkit,29:29.5,33,Fruits & Vegetables,292,Items missing from order.,2,No,Yes
ORD000555,CUST7211,Blinkit,06:29.5,16,Snacks,101,"Fast delivery, great service!",5,No,No
ORD000556,CUST6363,Swiggy Instamart,19:29.5,27,Personal Care,504,Items missing from order.,2,No,Yes
ORD000557,CUST4467,Blinkit,31:29.5,18,Fruits & Vegetables,431,Items missing from order.,2,No,Yes
ORD000558,CUST8449,Blinkit,40:29.5,35,Personal Care,1702,"Horrible experience, never ordering again.",1,No,Yes
ORD000559,CUST6355,JioMart,29:29.5,20,Fruits & Vegetables,662,Packaging could be better.,3,No,No
ORD000560,CUST6529,Blinkit,45:29.5,31,Beverages,246,"Easy to order, loved it!",5,No,No
ORD000561,CUST7211,JioMart,19:29.5,35,Personal Care,1192,Excellent experience!,5,No,No
